H,Hydrogen,chemistry;elements;symbols
He,Helium,chemistry;elements;symbols
C,Carbon,chemistry;elements;symbols
N,Nitrogen,chemistry;elements;symbols
O,Oxygen,chemistry;elements;symbols
Na,Sodium,chemistry;elements;symbols;latin
Mg,Magnesium,chemistry;elements;symbols
K,Potassium,chemistry;elements;symbols;latin
Ca,Calcium,chemistry;elements;symbols
Fe,Iron,chemistry;elements;symbols;latin
Cu,Copper,chemistry;elements;symbols;latin
Zn,Zinc,chemistry;elements;symbols
Ag,Silver,chemistry;elements;symbols;latin
Sn,Tin,chemistry;elements;symbols;latin
Sb,Antimony,chemistry;elements;symbols;latin
W,Tungsten,chemistry;elements;symbols;latin
Au,Gold,chemistry;elements;symbols;latin
Hg,Mercury,chemistry;elements;symbols;latin
Pb,Lead,chemistry;elements;symbols;latin
