What is the capital of France?,Paris,geography;europe
What is the capital of Australia?,Canberra,geography;oceania
Which planet is closest to the Sun?,Mercury,science;astronomy
Largest planet in our solar system?,Jupiter,science;astronomy
Largest ocean on Earth?,Pacific|Pacific Ocean,geography;oceans
Who developed the theory of relativity?,Albert Einstein|Einstein,science;physicist
Who wrote Hamlet?,Shakespeare|William Shakespeare,literature;plays
In which year did the Second World War end?,1945,history;20th-century
How many bones are in the adult human body?,206,science;anatomy
Which gas do plants absorb from the air?,Carbon dioxide|CO2,science;biology
What is the smallest prime number?,2,maths;numbers
What is the currency of Japan?,Yen|Japanese yen,geography;currency
